hitId,anonymousId,name,eventAction,city,section
4f1ea540-ad1f-11e8-9306-63fc1c1296e4,b46dcf90-9bed-11e8-960e-75fbf65ae29e,Viewed Seller Phone Number,show,aksu,vakansii-proizvodstvo-energetika
14141910-ad3a-11e8-948f-17b7a29f807e,d9747530-acbb-11e8-9f43-9ff123900b6a,Viewed Seller Phone Number,show,alga,vakansii-rabochiy-personal
d3e623a0-ad3f-11e8-8fa5-c3bce2f9de2c,bf071f20-ad3f-11e8-9209-bf7efdb2604e,Viewed Seller Phone Number,show,aktau,dlya-pishchevoy-promyshlennosti
9ca165f0-ad42-11e8-a6e6-e7ed38b1143e,09870310-ad42-11e8-b2ba-c553087793f8,Viewed Seller Phone Number,show,aktau,selhoz-zhivotnye
acb3a550-ad30-11e8-8667-2b9f1574c167,b63595a0-9018-11e8-bc91-d3ffd1884950,Viewed Seller Phone Number,show,aktau,vakansii-rabochiy-personal
245cbed0-ad35-11e8-a163-55e992d99684,b122afa0-95c0-11e8-b99a-31d219ff180e,Viewed Seller Phone Number,show,aktau,vakansii-ohrana-bezopasnost
68b1e430-ad39-11e8-bf32-f1134b99c43e,c147c480-ad38-11e8-807c-1f715dfbcdc0,Viewed Seller Phone Number,show,aktau,okna-dveri-balkony
c62caab0-ad38-11e8-807c-1f715dfbcdc0,c147c480-ad38-11e8-807c-1f715dfbcdc0,Viewed Seller Phone Number,show,aktau,okna-dveri-balkony
75eda5d0-ad39-11e8-8180-db40dc33ebbc,c147c480-ad38-11e8-807c-1f715dfbcdc0,Viewed Seller Phone Number,show,aktau,okna-dveri-balkony
6ec97e00-ad39-11e8-b1f6-7b95ccd6f693,c147c480-ad38-11e8-807c-1f715dfbcdc0,Viewed Seller Phone Number,show,aktau,okna-dveri-balkony
c7d319a0-ad36-11e8-84d5-47de0c6b5cba,2bfdc9b0-ad33-11e8-961b-0983c9c2ce84,Viewed Seller Phone Number,show,aktau,holodilniki
6e1d4300-ad3a-11e8-b5ef-5dfbe2781124,f620d9f0-8de7-11e8-9942-73c3be5e6a7d,Viewed Seller Phone Number,show,aktau,dveri
4f6f6910-ad3a-11e8-b510-fff94245ccc4,f620d9f0-8de7-11e8-9942-73c3be5e6a7d,Viewed Seller Phone Number,show,aktau,dveri
a5f4c370-ad3a-11e8-88ea-6be70cf16e2a,f620d9f0-8de7-11e8-9942-73c3be5e6a7d,Viewed Seller Phone Number,show,aktau,dveri
53ead7b0-ad3d-11e8-b0c4-9f71d0523ba8,f620d9f0-8de7-11e8-9942-73c3be5e6a7d,Viewed Seller Phone Number,show,aktau,dveri
4a14d520-ad23-11e8-85ec-f17838aa6aee,2f71d510-ad23-11e8-afe7-ff65664d2452,Viewed Seller Phone Number,show,aktau,monety
4a09b190-ad23-11e8-85ec-f17838aa6aee,2f71d510-ad23-11e8-afe7-ff65664d2452,Viewed Seller Phone Number,show,aktau,monety
ab34e3a0-ad27-11e8-967c-31989ec95c12,1b85c830-35e7-11e8-953a-957cc52e7b10,Viewed Seller Phone Number,show,aktau,tendery
29d4b910-ad3c-11e8-bf33-1180163071b0,f620d9f0-8de7-11e8-9942-73c3be5e6a7d,Viewed Seller Phone Number,show,aktau,okna-balkony
59dab020-ad3b-11e8-baba-4945ba8e5ee4,6e9882f0-ad39-11e8-84d0-3f4641dafeba,Viewed Seller Phone Number,show,aktau,krovati-matrasy
49e8f640-ad3b-11e8-adaf-1f7a98d5dbb0,6e9882f0-ad39-11e8-84d0-3f4641dafeba,Viewed Seller Phone Number,show,aktau,krovati-matrasy
9db3a1a0-ad34-11e8-a8d2-c7211a2c6153,7c466b00-89d1-11e8-bbda-abc249b7d3f3,Viewed Seller Phone Number,show,aktau,prodam-uchastok
a7cc9f70-ad34-11e8-86b1-87d4f9f08d66,7c466b00-89d1-11e8-bbda-abc249b7d3f3,Viewed Seller Phone Number,show,aktau,prodam-uchastok
